Year  terrorism  terrorist  occupation  narcotic  violation  democracy  development
2000  0          0          2           1         2          3          10
2001  2          0          14          6         11         25         31
2002  16         10         14          26        35         48         53
2003  30         63         16          19        27         53         65
2004  47         78         57          56        60         71         78
2005  89         68         187         235       187        153        221
2006  184        182        539	        607       325        281        285
2007  155        394        2158        3015      2150       3061       1709
2008  343        510        1966        4507      3709       4521       3452
2009  444        668        2311        3213      4568       5670       5007
2010  864        1398       3175        4100      5009       7053       6974
2011  1728       1549       6675        7250      7067       9781       8991
2012  2574       4401       5494        8950      6593       13680      11361
2013  3605       4465       16844       20350    15098       25078      15981
2014  124664     540556     256429      35670    28078       38921      27849
2015  13696      238434     17598       15560    10337       12025      14745
